university,universityLabel,year,uniCityLabel,uniCountryLabel
http://www.wikidata.org/entity/Q371522,University of Gothenburg,1954,Gothenburg,Sweden
http://www.wikidata.org/entity/Q221645,Stockholm University,1878,Stockholm,Sweden
http://www.wikidata.org/entity/Q219564,Karolinska Institute,1810,Stockholm,Sweden
http://www.wikidata.org/entity/Q185246,Uppsala University,1477,Uppsala,Sweden
http://www.wikidata.org/entity/Q218506,Lund University,1666,Lund,Sweden
http://www.wikidata.org/entity/Q1312762,Swedish University of Agricultural Sciences,1977,Uppsala,Sweden
http://www.wikidata.org/entity/Q1751928,Linnaeus University,2010,Växjö,Sweden
http://www.wikidata.org/entity/Q1751928,Linnaeus University,2010,Kalmar,Sweden
http://www.wikidata.org/entity/Q854280,Royal Institute of Technology,1827,Stockholm,Sweden
http://www.wikidata.org/entity/Q836805,Chalmers University of Technology,1829,Gothenburg,Sweden
http://www.wikidata.org/entity/Q782600,Linköping University,1975,Linköping,Sweden
http://www.wikidata.org/entity/Q977781,Malmö University,1998,Malmö,Sweden
http://www.wikidata.org/entity/Q977781,Malmö University,1998,Universitetsholmen,Sweden
http://www.wikidata.org/entity/Q1144565,Umeå University,1965,Umeå,Sweden
http://www.wikidata.org/entity/Q2002420,Örebro University,1977,Örebro,Sweden
http://www.wikidata.org/entity/Q1972721,Luleå University of Technology,1971,Luleå,Sweden
http://www.wikidata.org/entity/Q1940803,Mid Sweden University,1993,Sundsvall,Sweden
http://www.wikidata.org/entity/Q1972721,Luleå University of Technology,1971,Porsön,Sweden
http://www.wikidata.org/entity/Q1858061,Karlstad University,1977,Karlstad,Sweden
http://www.wikidata.org/entity/Q1940803,Mid Sweden University,1993,Östersund,Sweden
http://www.wikidata.org/entity/Q1796144,Royal College of Music in Stockholm,1771,Stockholm,Sweden
http://www.wikidata.org/entity/Q2467768,Military Academy Karlberg,1792,Huvudsta,Sweden
http://www.wikidata.org/entity/Q1061504,Stockholm School of Economics,1909,Vasastaden,Sweden
http://www.wikidata.org/entity/Q1782926,Konstfack,1844,Stockholm,Sweden
http://www.wikidata.org/entity/Q4671458,"Academy of Fine Arts, Umeå",1987,Umeå,Sweden
http://www.wikidata.org/entity/Q1782926,Konstfack,1844,Midsommarkransen,Sweden
http://www.wikidata.org/entity/Q1782926,Konstfack,1844,Gärdet,Sweden
http://www.wikidata.org/entity/Q7894643,University West,1990,Trollhättan,Sweden
http://www.wikidata.org/entity/Q5625923,Gävle University College,1977,Gävle,Sweden
